"","ID","sample","donor","timepoint","cytokine","N_mature_nucleus","N_mature_cytoplasm","N_mature_total","N_nascent_Ts_1","N_nascent_Ts_2","N_nascent_total"
"181","D1ACTD_0H__02_Cell_CP_22_IFN","ACTD","D1","0","IFN",1,19,20,0,0,0
"182","D1ACTD_0H__02_Cell_CP_22_TNF","ACTD","D1","0","TNF",6,13,19,0,0,0
"183","D1ACTD_0H__02_Cell_CP_23_IFN","ACTD","D1","0","IFN",9,3,12,0,0,0
"184","D1ACTD_0H__02_Cell_CP_23_TNF","ACTD","D1","0","TNF",11,6,17,0,0,0
"185","D1ACTD_0H__02_Cell_CP_25_IFN","ACTD","D1","0","IFN",4,5,9,0,0,0
"186","D1ACTD_0H__02_Cell_CP_25_TNF","ACTD","D1","0","TNF",9,7,16,0,0,0
"187","D1ACTD_0H__02_Cell_CP_26_IFN","ACTD","D1","0","IFN",5,3,8,0,0,0
"188","D1ACTD_0H__02_Cell_CP_26_TNF","ACTD","D1","0","TNF",11,3,14,0,0,0
"189","D1ACTD_0H__02_Cell_CP_27_IFN","ACTD","D1","0","IFN",6,3,9,0,0,0
"190","D1ACTD_0H__02_Cell_CP_27_TNF","ACTD","D1","0","TNF",14,2,16,0,0,0
"191","D1ACTD_0H__02_Cell_CP_28_IFN","ACTD","D1","0","IFN",3,17,20,0,0,0
"192","D1ACTD_0H__02_Cell_CP_28_TNF","ACTD","D1","0","TNF",3,7,10,0,0,0
"193","D1ACTD_0H__02_Cell_CP_29_IFN","ACTD","D1","0","IFN",3,8,11,0,0,0
"194","D1ACTD_0H__02_Cell_CP_29_TNF","ACTD","D1","0","TNF",2,3,5,0,0,0
"195","D1ACTD_0H__02_Cell_CP_3_IFN","ACTD","D1","0","IFN",7,7,14,0,0,0
"196","D1ACTD_0H__02_Cell_CP_3_TNF","ACTD","D1","0","TNF",2,9,11,0,0,0
"197","D1ACTD_0H__02_Cell_CP_30_IFN","ACTD","D1","0","IFN",5,8,13,0,0,0
"198","D1ACTD_0H__02_Cell_CP_30_TNF","ACTD","D1","0","TNF",8,2,10,0,0,0
"199","D1ACTD_0H__02_Cell_CP_31_IFN","ACTD","D1","0","IFN",4,9,13,0,0,0
"200","D1ACTD_0H__02_Cell_CP_31_TNF","ACTD","D1","0","TNF",13,7,20,0,0,0
"201","D1ACTD_0H__02_Cell_CP_32_IFN","ACTD","D1","0","IFN",12,11,23,0,0,0
"202","D1ACTD_0H__02_Cell_CP_32_TNF","ACTD","D1","0","TNF",11,9,20,0,0,0
"203","D1ACTD_0H__02_Cell_CP_33_IFN","ACTD","D1","0","IFN",12,20,32,0,0,0
"204","D1ACTD_0H__02_Cell_CP_33_TNF","ACTD","D1","0","TNF",10,11,21,0,0,0
"205","D1ACTD_0H__02_Cell_CP_34_IFN","ACTD","D1","0","IFN",4,10,14,0,0,0
"206","D1ACTD_0H__02_Cell_CP_34_TNF","ACTD","D1","0","TNF",8,13,21,0,0,0
"207","D1ACTD_0H__02_Cell_CP_36_IFN","ACTD","D1","0","IFN",7,5,12,0,0,0
"208","D1ACTD_0H__02_Cell_CP_36_TNF","ACTD","D1","0","TNF",17,2,19,0,0,0
"209","D1ACTD_0H__02_Cell_CP_38_IFN","ACTD","D1","0","IFN",3,2,5,0,0,0
"210","D1ACTD_0H__02_Cell_CP_38_TNF","ACTD","D1","0","TNF",4,4,8,0,0,0
"211","D1ACTD_0H__02_Cell_CP_39_IFN","ACTD","D1","0","IFN",7,10,17,0,0,0
"212","D1ACTD_0H__02_Cell_CP_39_TNF","ACTD","D1","0","TNF",9,3,12,0,0,0
"213","D1ACTD_0H__02_Cell_CP_4_IFN","ACTD","D1","0","IFN",2,3,5,0,0,0
"214","D1ACTD_0H__02_Cell_CP_4_TNF","ACTD","D1","0","TNF",4,9,13,0,0,0
"215","D1ACTD_0H__02_Cell_CP_40_IFN","ACTD","D1","0","IFN",8,21,29,0,0,0
"216","D1ACTD_0H__02_Cell_CP_40_TNF","ACTD","D1","0","TNF",6,17,23,0,0,0
"217","D1ACTD_0H__02_Cell_CP_41_IFN","ACTD","D1","0","IFN",9,2,11,0,0,0
"218","D1ACTD_0H__02_Cell_CP_41_TNF","ACTD","D1","0","TNF",7,2,9,0,0,0
"219","D1ACTD_0H__02_Cell_CP_42_IFN","ACTD","D1","0","IFN",6,15,21,0,0,0
"220","D1ACTD_0H__02_Cell_CP_42_TNF","ACTD","D1","0","TNF",9,7,16,0,0,0
"221","D1ACTD_0H__02_Cell_CP_43_IFN","ACTD","D1","0","IFN",3,6,9,0,0,0
"222","D1ACTD_0H__02_Cell_CP_43_TNF","ACTD","D1","0","TNF",12,6,18,0,0,0
"223","D1ACTD_0H__02_Cell_CP_44_IFN","ACTD","D1","0","IFN",8,2,10,0,0,0
"224","D1ACTD_0H__02_Cell_CP_44_TNF","ACTD","D1","0","TNF",8,3,11,0,0,0
"225","D1ACTD_0H__02_Cell_CP_45_IFN","ACTD","D1","0","IFN",2,5,7,0,0,0
