"","ID","sample","donor","timepoint","cytokine","N_mature_nucleus","N_mature_cytoplasm","N_mature_total","N_nascent_Ts_1","N_nascent_Ts_2","N_nascent_total"
"400","D1C_0H_02_Cell_CP_62_TNF","C","D1","0","TNF",0,1,1,0,0,0
"401","D1C_0H_02_Cell_CP_64_IFN","C","D1","0","IFN",1,2,3,18,19,37
"402","D1C_0H_02_Cell_CP_64_TNF","C","D1","0","TNF",6,4,10,0,0,0
"403","D1C_0H_02_Cell_CP_65_IFN","C","D1","0","IFN",0,2,2,0,0,0
"404","D1C_0H_02_Cell_CP_65_TNF","C","D1","0","TNF",2,1,3,0,0,0
"405","D1C_0H_02_Cell_CP_67_IFN","C","D1","0","IFN",16,20,36,0,0,0
"406","D1C_0H_02_Cell_CP_67_TNF","C","D1","0","TNF",11,7,18,0,0,0
"407","D1C_0H_02_Cell_CP_68_IFN","C","D1","0","IFN",0,3,3,0,0,0
"408","D1C_0H_02_Cell_CP_68_TNF","C","D1","0","TNF",0,2,2,0,0,0
"412","D1C_0H_02_Cell_CP_70_TNF","C","D1","0","TNF",3,4,7,0,0,0
"413","D1C_0H_02_Cell_CP_71_IFN","C","D1","0","IFN",2,2,4,0,0,0
"415","D1C_0H_02_Cell_CP_72_IFN","C","D1","0","IFN",7,18,25,0,0,0
"416","D1C_0H_02_Cell_CP_72_TNF","C","D1","0","TNF",2,5,7,0,0,0
"418","D1C_0H_02_Cell_CP_73_TNF","C","D1","0","TNF",0,1,1,0,0,0
"419","D1C_0H_02_Cell_CP_75_IFN","C","D1","0","IFN",9,5,14,0,0,0
"420","D1C_0H_02_Cell_CP_75_TNF","C","D1","0","TNF",6,10,16,0,0,0
"421","D1C_0H_02_Cell_CP_76_IFN","C","D1","0","IFN",0,10,10,0,0,0
"422","D1C_0H_02_Cell_CP_76_TNF","C","D1","0","TNF",2,1,3,0,0,0
"423","D1C_0H_02_Cell_CP_77_IFN","C","D1","0","IFN",0,1,1,0,0,0
"425","D1C_0H_02_Cell_CP_78_IFN","C","D1","0","IFN",0,2,2,0,0,0
"427","D1C_0H_02_Cell_CP_79_IFN","C","D1","0","IFN",0,2,2,0,0,0
"431","D1C_0H_02_Cell_CP_80_IFN","C","D1","0","IFN",0,1,1,0,0,0
"432","D1C_0H_02_Cell_CP_80_TNF","C","D1","0","TNF",1,3,4,0,0,0
"435","D1C_0H_02_Cell_CP_82_IFN","C","D1","0","IFN",1,0,1,0,0,0
"436","D1C_0H_02_Cell_CP_82_TNF","C","D1","0","TNF",13,2,15,0,0,0
"441","D1C_0H_02_Cell_CP_85_IFN","C","D1","0","IFN",0,5,5,0,0,0
"446","D1C_0H_02_Cell_CP_88_TNF","C","D1","0","TNF",2,2,4,0,0,0
