"","ID","N_nascent_Ts_1","N_nascent_Ts_2"
"267","D1_0HCD3CD28_05_Cell_CP_55_TNF",9,NA
"268","D1_0HCD3CD28_05_Cell_CP_56_TNF",NA,NA
"269","D1_0HCD3CD28_05_Cell_CP_57_TNF",NA,NA
"270","D1_0HCD3CD28_05_Cell_CP_58_TNF",NA,NA
"271","D1_0HCD3CD28_05_Cell_CP_59_TNF",NA,NA
"272","D1_0HCD3CD28_05_Cell_CP_6_TNF",NA,NA
"273","D1_0HCD3CD28_05_Cell_CP_60_TNF",NA,NA
"274","D1_0HCD3CD28_05_Cell_CP_61_TNF",NA,NA
"275","D1_0HCD3CD28_05_Cell_CP_62_TNF",NA,NA
"276","D1_0HCD3CD28_05_Cell_CP_63_TNF",NA,NA
"277","D1_0HCD3CD28_05_Cell_CP_65_TNF",NA,NA
"278","D1_0HCD3CD28_05_Cell_CP_67_TNF",NA,NA
"279","D1_0HCD3CD28_05_Cell_CP_69_TNF",NA,NA
"280","D1_0HCD3CD28_05_Cell_CP_70_TNF",NA,NA
"281","D1_0HCD3CD28_05_Cell_CP_71_TNF",NA,NA
"282","D1_0HCD3CD28_05_Cell_CP_72_TNF",NA,NA
"283","D1_0HCD3CD28_05_Cell_CP_73_TNF",2,NA
"284","D1_0HCD3CD28_05_Cell_CP_74_TNF",NA,NA
"285","D1_0HCD3CD28_05_Cell_CP_75_TNF",NA,NA
"286","D1_0HCD3CD28_05_Cell_CP_79_TNF",NA,NA
"287","D1_0HCD3CD28_05_Cell_CP_8_TNF",NA,NA
"288","D1_0HCD3CD28_05_Cell_CP_80_TNF",NA,NA
"289","D1_0HCD3CD28_05_Cell_CP_82_TNF",NA,NA
"290","D1_0HCD3CD28_05_Cell_CP_84_TNF",2,NA
"291","D1_0HCD3CD28_05_Cell_CP_85_TNF",NA,NA
"292","D1_0HCD3CD28_05_Cell_CP_9_TNF",NA,NA
"293","D1_0HCD3CD28_06_Cell_CP_10_TNF",NA,NA
"294","D1_0HCD3CD28_06_Cell_CP_12_TNF",NA,NA
"295","D1_0HCD3CD28_06_Cell_CP_14_TNF",NA,NA
"296","D1_0HCD3CD28_06_Cell_CP_15_TNF",NA,NA
"297","D1_0HCD3CD28_06_Cell_CP_16_TNF",NA,NA
"298","D1_0HCD3CD28_06_Cell_CP_17_TNF",NA,NA
"299","D1_0HCD3CD28_06_Cell_CP_18_TNF",NA,NA
"300","D1_0HCD3CD28_06_Cell_CP_19_TNF",NA,NA
"301","D1_0HCD3CD28_06_Cell_CP_21_TNF",NA,NA
"302","D1_0HCD3CD28_06_Cell_CP_23_TNF",NA,NA
"303","D1_0HCD3CD28_06_Cell_CP_24_TNF",NA,NA
"304","D1_0HCD3CD28_06_Cell_CP_25_TNF",NA,NA
"305","D1_0HCD3CD28_06_Cell_CP_26_TNF",2,NA
"306","D1_0HCD3CD28_06_Cell_CP_27_TNF",NA,NA
"307","D1_0HCD3CD28_06_Cell_CP_28_TNF",NA,NA
"308","D1_0HCD3CD28_06_Cell_CP_29_TNF",NA,NA
"309","D1_0HCD3CD28_06_Cell_CP_30_TNF",NA,NA
"310","D1_0HCD3CD28_06_Cell_CP_31_TNF",NA,NA
"311","D1_0HCD3CD28_06_Cell_CP_32_TNF",NA,NA
"312","D1_0HCD3CD28_06_Cell_CP_33_TNF",NA,NA
"313","D1_0HCD3CD28_06_Cell_CP_34_TNF",NA,NA
"314","D1_0HCD3CD28_06_Cell_CP_35_TNF",NA,NA
"315","D1_0HCD3CD28_06_Cell_CP_36_TNF",NA,NA
"316","D1_0HCD3CD28_06_Cell_CP_39_TNF",NA,NA
"317","D1_0HCD3CD28_06_Cell_CP_4_TNF",NA,NA
"318","D1_0HCD3CD28_06_Cell_CP_41_TNF",NA,NA
"319","D1_0HCD3CD28_06_Cell_CP_43_TNF",NA,NA
"320","D1_0HCD3CD28_06_Cell_CP_44_TNF",NA,NA
"321","D1_0HCD3CD28_06_Cell_CP_45_TNF",NA,NA
"322","D1_0HCD3CD28_06_Cell_CP_48_TNF",NA,NA
"323","D1_0HCD3CD28_06_Cell_CP_5_TNF",NA,NA
"324","D1_0HCD3CD28_06_Cell_CP_50_TNF",NA,NA
"325","D1_0HCD3CD28_06_Cell_CP_51_TNF",NA,NA
"326","D1_0HCD3CD28_06_Cell_CP_52_TNF",NA,NA
"327","D1_0HCD3CD28_06_Cell_CP_53_TNF",NA,NA
"328","D1_0HCD3CD28_06_Cell_CP_54_TNF",NA,NA
"329","D1_0HCD3CD28_06_Cell_CP_55_TNF",NA,NA
"330","D1_0HCD3CD28_06_Cell_CP_56_TNF",NA,NA
"331","D1_0HCD3CD28_06_Cell_CP_57_TNF",NA,NA
"332","D1_0HCD3CD28_06_Cell_CP_58_TNF",NA,NA
"333","D1_0HCD3CD28_06_Cell_CP_59_TNF",NA,NA
"334","D1_0HCD3CD28_06_Cell_CP_6_TNF",NA,NA
"335","D1_0HCD3CD28_06_Cell_CP_61_TNF",NA,NA
"336","D1_0HCD3CD28_06_Cell_CP_62_TNF",NA,NA
"337","D1_0HCD3CD28_06_Cell_CP_63_TNF",NA,NA
"338","D1_0HCD3CD28_06_Cell_CP_65_TNF",NA,NA
"339","D1_0HCD3CD28_06_Cell_CP_66_TNF",NA,NA
"340","D1_0HCD3CD28_06_Cell_CP_67_TNF",NA,NA
"341","D1_0HCD3CD28_06_Cell_CP_68_TNF",NA,NA
"342","D1_0HCD3CD28_06_Cell_CP_69_TNF",NA,NA
"343","D1_0HCD3CD28_06_Cell_CP_7_TNF",NA,NA
"344","D1_0HCD3CD28_06_Cell_CP_72_TNF",NA,NA
"345","D1_0HCD3CD28_06_Cell_CP_73_TNF",NA,NA
"346","D1_0HCD3CD28_06_Cell_CP_75_TNF",NA,NA
"347","D1_0HCD3CD28_06_Cell_CP_76_TNF",NA,NA
"348","D1_0HCD3CD28_06_Cell_CP_77_TNF",NA,NA
"349","D1_0HCD3CD28_06_Cell_CP_78_TNF",NA,NA
"350","D1_0HCD3CD28_06_Cell_CP_79_TNF",NA,NA
"351","D1_0HCD3CD28_06_Cell_CP_8_TNF",NA,NA
"352","D1_0HCD3CD28_06_Cell_CP_80_TNF",NA,NA
"353","D1_0HCD3CD28_06_Cell_CP_82_TNF",NA,NA
"354","D1_0HCD3CD28_06_Cell_CP_83_TNF",NA,NA
"355","D1_0HCD3CD28_06_Cell_CP_84_TNF",NA,NA
"356","D1_0HCD3CD28_06_Cell_CP_86_TNF",NA,NA
"357","D1_0HCD3CD28_06_Cell_CP_89_TNF",NA,NA
"358","D1_0HCD3CD28_06_Cell_CP_9_TNF",NA,NA
"359","D1_0HCD3CD28_06_Cell_CP_90_TNF",NA,NA
"360","D1_0HCD3CD28_06_Cell_CP_91_TNF",NA,NA
"361","D1_0HCD3CD28_06_Cell_CP_92_TNF",NA,NA
"362","D1_0HCD3CD28_06_Cell_CP_93_TNF",NA,NA
"363","D1_0HCD3CD28_07_Cell_CP_1_TNF",NA,NA
"364","D1_0HCD3CD28_07_Cell_CP_10_TNF",NA,NA
"365","D1_0HCD3CD28_07_Cell_CP_11_TNF",NA,NA
"366","D1_0HCD3CD28_07_Cell_CP_12_TNF",NA,NA
"367","D1_0HCD3CD28_07_Cell_CP_13_TNF",NA,NA
"368","D1_0HCD3CD28_07_Cell_CP_14_TNF",NA,NA
"369","D1_0HCD3CD28_07_Cell_CP_16_TNF",NA,NA
"370","D1_0HCD3CD28_07_Cell_CP_17_TNF",NA,NA
"371","D1_0HCD3CD28_07_Cell_CP_18_TNF",NA,NA
"372","D1_0HCD3CD28_07_Cell_CP_20_TNF",NA,NA
"373","D1_0HCD3CD28_07_Cell_CP_22_TNF",NA,NA
